text	label
이것도 그럴까요 ㅜ	0
이 싸이트가 가장 저렴하고 탤로도 맘에 들고 좋은 구매 경험이였습니다	1
뒷면 디자인도 이 상하네요	0
뭐 이런 황당한 너무 묽 고 마르지가 않아요	0
저희 아버지가 좋아하시네요	1
구매하는 김에 선도 삽니다	1
헤이즐넛 시켰는데 아몬드 왔네요 ㅋㅋ	0
상품이 마음에 안 듬	0
발가락 부분이 이 상해요	0
재질도 긁힘에 강해 보이고요	1
연락처 전화해도 전화도 안 받고 번호는 뭐하러 남겨놨는지	0
다음에는 남쪽 코스도 이용하고 싶습니다	1
그 전엔 비닐에 넣어주셨던데	0
재구매 유통기한이 임 박 상품이에요	0
조립부품에 곰팡이 같은 게 있고 포장 상태도 엉망으로 도착하네요	0
가볍고 재질이 좋은 거 같아서 또 구매했습니다	1
갤럭시 7 보호 필름을 구매하였으나 잘못된 모델 사이즈 제품 발송됨 교환 요청하였으나 재구매하라는 답변을 받음	0
화면에서 본 것과 같은 느낌입니다	1
마감이 깔끔해서 넘나 좋네요	1
제 파운데이션잉 안 맞는 건지 ㅜㅜ	0
무거운 자석은 안 붙긴 하지만 애기들 교구 정도는 잘 붙어 요 아직 어린 데도 애기가 좋아하네요	1
똑같이 상자 구매했는데 이렇게 다르네요	0
음식물 잘 막아주고 세척 편합니다	1
아기가 사용하는 제품이면 더욱 더 깨끗하게 보내주셔야 되는데 먼지와 실밥 보풀이 많네요	0
버섯류가 상해서 온다고 해서 그래도 혹시나 했는데 역시나 상해서 왔네요	0
두레박 분실로 새로 샀는데 투명이라 좋구요	1
가성비 최고의 제품	1
약간 싼 느낌이 나네요	0
생각보다 고정이 잘 안됨ㅜ	0
국내산 100 로 가 아니였음	0
소니 액션캠이 신 분들 300원도 아니고 3000원이나 하는 어댑터가 너무 부실함 연결했는데 카메라가 고정이 안 되고 덜 렁거림 십자드라이버로 조여야 그나마 쓸 만하고 집에 드라이버 없는 사람은 서러워 살겠나	0
처음에는 예쁘고 좋았는데 2번 쓰고 안 쓰게 되네요	0
배송은 일주일 정도 걸렸어요	1
얇고 답답하지 않아요	1
이건 그럴 수 있다고 생각하는데 안 닦이는 게 있어서 보니까 거칠한 게 플라스틱이 갈린 자국이 ㅠ 여기가 제일 싸서 샀는데	0
여자인데 조립하는 것도 쉽고 괜찮아요	0
우선 설치가 편합니다	1
펌프 따로 포장된 거 독특했어요	1
배송이 6일 걸렸네요	0
마음에 들어 요 많리 파세녀 항상 영기서 구매합 미자 감사 파빈 다 많이 퍼세뇨 감사합니더	1
설탕분 같은 게 안 발린 게 많네요	0
배송도 쾅꽝 얼어서 도착하고 아주 만족합니다 ㅋㅋ	1
제품 포장 좋아요	0
기대했던 타퍼가 아니었어요	0
깔끔하니 고급 지고 좋아요	1
전자렌지에 돌려서 먹어도 엄청 맛있어요	1
실물깡패 예뻐요	1
의 자도 나무만 있는 게 아니고 나름 푹신하게 의 자 전체가 되어 있어서 좋아요	1
디지인도 별 루고 작아요	0
유탕 처리 된 거네요	0
다 국물	0
매장에서 쓰려고 구매했어요	1
썩은 것도 있었구요	0
촬영용으론 괜찮습니다	0
구매하실 분들 참고 하십쇼 생각보다 맑은 톤은 아니요	0
엉덩이 너무 끼고 엉덩이가 세모로 보임	0
변기 뚫 때 고무가 위로 뒤집혀 져서 다시 내리고 하게 되네요	0
추후 재구매 의사 있습니 당 ㅎ	1
배송도 빠르고 실물이 다 예뻐서 좋아욯	1
사이즈 디자인 실용성 다 좋았는데 여행 가서	0
일단 한 개만 샀는데 넉넉하게 운동하고 싶으시다면 이 제품으로 2개 이상 혹은 타 제품 매트형을 구매하는 게 좋겠어요	1
깔끔하고 크기도 적당한데요	0
이런 걸로 반품하면 판매자님 손해 나실까봐 그냥 구매 결정합니다	0
밥 공기 국 그릇이 조금 작은 느낌은 있어요	1
두께감 있구요	1
물막이 접착력이 좋아서 놀랄 정도에 요 저희 집 주방이랑도 잘 어울리네 요 계란 보관 통도 야 무져서 마음에 드네요	1
어른 옷걸이에도 걸려요	1
써지지도 않아 요반품하기도 귀찮아서 버릴려 구요	0
배송도 빠르고 장난감도 많아서 좋아요	1
정확히 구매하고 20일 만에 받았네요	0
블라인드 기능은 좋으나 포토리뷰 등록 후 2000포인트를 준다면서 평점을 5점 비방글 제외 를 유도하는 행태가 엉망이 다 진정 제품에 자신이 있다면 저런 쓸데없는 짓은 하지 말기를	0
배송도 좋고 포장도 그럭저럭 잘해주셔서 보내주셨네요	1
최고 자전거 용 자물쇠를 사야 하나 고민했는데 이렇게 가볍고 와이어 긴 것을 구매할 수 있어 좋아요	1
술자리에서 재미나게 놀앗음	0
여기 더럽게 전화 안 받고 안 되면 음성 돌립니다	0
풀엘이 디 반짝이 불빛도 3가 진가 그래서 더 유니크 하네요	1
차라리 다이소 가서 사세요	0
빠른 배송 이 쁘게 잘해 볼께 요ㅎㅎ	1
쓰던 게 낡아서 구매했네요	1
생각보다 더 이쁘네	1
재구매 17키보다 건반도 많아서 더 다양한 곡을 연주할 수 있고 음색도 좋아요	1
흐르지 않고 아이가 편한하게 마실 수 있어요	1
좀 건조해서 바디로션 안바르면 매우 건조해요	0
한 손 장갑 구매하기 정말 어려웠는데 저렴하게 잘사서 너무 좋아요	1
배송 5일이나 걸렸네요	0
재구매 늘 구입해 먹습니다	1
화면이랑 동일하네요	1
유기농이라고 허니 믿고 먹겠습니다	1
아직은 좀 크고기네요 ㅎㅎ	1
정말 요 ㅠ	0
매쉬 소재로 시원해요	1
의자 한 개가 색깔이 바래서 왔네요ㅠ	0
배송 빠르구 비오는 날 잘 신을 것 같아요	1
머 불량이 아니라 교환도 못해준다고만 하고	0
해외 배송이라 반품하기 번거로워 그냥 쓰지만 만족스럽지 않아요	0
허벅지부터 종아리 라인까지	0
너무 쉽게 빠지고 고정이 안 되서 막힐 뻔햇어요	0
벌써 3년째 쓰고 있어요	1
멘보샤도 그렇고 오징어 가라아게도 너무 기름이 많이 느껴져서 별로	0
내구성이 별로예요	0
빠르고 조용하고 정말 좋네요	1
잘 갈려 요 하지만 내 구성 매우 약해요 ㅜㅜ	0
책상 다리 재질이 거칠어요	0
나 이론 천일 줄 알았는데 앞엔 비닐에 뒷면 융 같아 여름엔 쪄 죽을 수도	0
눈시림이 있어요	0
단지 생각보단 크네요	1
해서 믿고 구매했어요	1
넘 별로 다 노 맛 왜 좋아하는지 이해 불가	0
바닥 찍찍이가 쩍 쩍거려 거슬리고 발목을 너무 아끼셨네	0
트러블 생깁니다	0
솔직히 효과를 그렇게 보진 못했어요	0
예뻐요 근데 마감이 조금 안 좋은 것도 잇네요	1
잡음도 없고 연결도 깔끔하게 딱 맞아요	1
4단 살까 고민했는데 맘에 듭니다	1
5 미리 작게 주문하라 하셔서 250 시켯는데 너무 딱 맞아서 살짝 불편한 면이 잇네요	1
짧고 작아 요 66사이즈는 못 입어요	0
마감 처리도 되지 않아서 톱밥이 떨어져요	0
왜 이런 가구를 만드는 건지	0
항상 쓰던 거여서 좋아요	1
니구 아주 물건입니다	1
누래지는 재질이 아니고 튼튼한 플라스틱이라 좋아요	1
찰지고 밥맛이 좋네요	1
색감 넘 이 뻐요 상의는 루즈하고 하의는 핏돼 요 90센티 13 키로 남아 사이즈 너무 크지 않고 잘 맞아요	1
써보고 얼굴색이 바뀐 듯 ㅋ	1
매일 시켜먹고 있어요	1
두 달 됐는데 썩은 고무 냄새가 안 빠지네요	0
이 거 리뷰 보고 구매한 건데 너무 약한 거 같네요	0
갸아아아악 너무 맘에 들어 요 ㅠㅠㅠ 깔끔한 거 찾다가 발견해서 샀는데 최고 ㅜㅜ 커버는 어차피 파우치에 넣고 다닐 거라 필요 없어서 핵 만족이 염 스 그가 더 예뻐 보이구 좋네요 ㅠㅠ	1
게다가 돌 같은 게 계속 씹히네요	0
높이가 안 맞아서 구멍이 안 맞으니 나사가 안 들어가서 애먹었네요	0
브라운이 한쪽이 금이 간 채로 왔는데 배송 중 생긴 상처는 전 혀 아닌 거 같고 인식한 제품을 싸니까 교환 반품 하면 하고 아님 말고 그냥 끼워 넣어 판 걸로 보여 요 그릇은 참 이쁜데 회사 마음은 그릇보다 싸보여요	0
바람더 안 들어갈 만큼 불었는데도 흔들리고 고정 안 됩니다ㅜㅜ	0
좁은 곳에 설치 하려고 슬림한 걸 찾았는데 방수 처리가 너무 두꺼워서 전혀 안 들어갑니다	0
배송도 굿이구요	1
원피스 입을 때 편해요	1
정말 짜증나고	0
두 세트 시켰는데	0
교체 시기가 다 되어 가서 미리 구매해놨어요	1
탱글한 것 생각했는데 좀 아쉬워요	0
원룸형으로는 딱입니다	1
재구매 기존에 사용하던 뚜껑이 상태가 안 좋아서 다바뀟네요	1
찍찍이 부분이 두꺼워서 좋아요	1
컬러감 너무 고퀄이네요	1
분 홍색도 사고 싶네요	1
상품 배송 이벤트 어느 하나 빠지지 않아 요 직접 보구 산 거라 제품도 너무너무 좋아요	1
이 시국에 배송이 빨라서 좋네요	1
다수가 그렇네요	0
코랄로 구입 색상 넘이쁨 엄청난 오버핏 임 아주 맘에 듬	1
다른 걸로 갈아탔다가 다시 돌아왔어요 ㅎ	1
온도가 미지근하네요	0
소리만 시 끄러움	0
입어보니 편안해서 좋네요	1
잘 받았오 요 잘 받았어요	1
진짜 상한 게 아닐까 하는 만큼 요 마시고 건강해지자 고 하는 건데 안 건강해지는 맛이네요	0
서랍장 열면 흔들흔들 ㅋㅋㅋ 서랍이 트위스트 춤 서랍 레일이 앞에만 쪼끔 있어 ㅋㅋ 휴 보고 신랑이랑 빵 터졌네요 ㅎㅎ	0
하지만 바람이 슬슬 빠지고 불편해요	0
의 자 다리 하나 밑에 고 무하나가 없어요	0
이 전 필립스 썼는데 바람도 강하고 좋네여	1
사진처럼 텐션이 있는 줄 알고 샀는데 그냥 면 바지 수준 걍 싼 맛에 입는 정도	0
만만히 봤다가 멘탈까지 탈탈 털어버리는 옥수수 같은 퍼즐이네요	0
2개나 주문했는데 당황스럽습니다 ㅠㅠ	0
과테말라 너무 맛있어요	1
어항 속 돌의 비릿한 냄새도 나 구요	0
항상 좋네요	1
안 뜯어봐서 모르겠고 일제 상품인지 모르고 구매	0
재봉질도 꼼꼼하지 않고 색상이 은 근 어둡네요	0
근방 떨어질 수 있을 듯요	0
시계줄 같지 않고 장난감 시계의 줄 같음	0
재구매 배송 정말 빠르네 여 여기서만 주문합니다	1
옷이 고무줄도 아니고 100 인 사람도 입을 수 있겠네요	0
자동결제 고발 준비중	0
맛이 그저 그래요 포장은 적당	0
쿠알라룸푸르 다시 나오니까 데이터 터졌구요	0
검수도 안 하시고 보내나 요 신제품인데	0
꽉 조이게 찬 것도 아니었는데 ㅠㅠ 가능하다고 하셨지만 워낙 약하니 또 끊어 질 것 같아 그냥 안 보냈네요	0
맛있고 포장도 탄탄하니 좋네요	1
배송이 넘 늦어서 8일이나 걸렸어요 ㅠㅠ	0
처음에 그랙픽이 안 읽어서 당황했는데 이 제 잘 됩니다 ㅋ	1
사용해보니 끈의 높이가 다 달라 요 ㅠㅠ 수평이 아니라서 어쩐지 뭔가 불편하길래 보니 50장 중 3장 빼고 끈 달린 위치가 수평이 없어요 ㅠ	0
두드려도 들어가지 않네요	0
빠른 배송 바삭 고소 배송 깔끔하고 빨라요	1
산 것만 쓰고 아이허브 로 돌아갑니다	0
꼬맹이 잘 때 조금씩 뿌려주고 있어요	1
무늬는 예쁘네요 ㅎㅎ	1
붓이 ㅜㅜ 휘어져 있어요 ㅠㅠ	0
진작에 살 껄 그랬어요	1
제품 잘 사용하고 있습니다	1
예전에도 쓰던 거라	1
싸서 구매했는데 진짜 별로예요	0
민트색인데 아침에 받자마자 열었더니만 원단에 뭐가 참 많이도 묻어서 보내셨네요	0
완전 놀랐습니다	1
거품 손세정제라고 하기엔 너 무 묽어요	0
재구매 배송이 플라스틱이 깨져서 와서 아기가 다쳤어요	0
항상 이것만 쓰는데 자주 구매할 게용	1
자주 쓸거 같진 않지만 음식할 때에는 조 심해서 사용해야 될 거 같아요	0
다음에 재구매할게요	1
다만 피아노가 하얀색이여서 의 자랑 스탠드도 하얀색 트로 주실 줄 알았는데 검은 색이 와서 좀 아쉬워요	1
두 번 만에 플라스틱 앞에 빠짐 그래서 갖다 버림 딴 거사세요	0
추천은 안하고 싶네요	0
맛도 엄청 맛있어요 ㅠㅠ	1
기저귀 가방 유목민 되겠어요 ㅠ	0
산 이유가 분명했으며 만족도 또한 분명히 좋습니다	1
키 높이 티도 거의 안나고 촉감도 좋도 부드러워요	1
딱 가격만큼 그 이상도 그 이 하도	0
두껍고 투박해요	0
잘 때 바르면 아침에 얼굴이 반들 반들	1
안 되서 보냈던 건데 됫 다 안 됫다 하는 게 더 이상 하죠	0
실물과 비슷하구 배송도 빨라요 열심히 배 변 훈련 해볼게요	1
화질도 좋고 강지 심심해서 어떻게 노나 싶었는데 구서 쿠석 잘 보입니다	1
트러블 잇다는 분들이 계셔서 사용해보기 전에 팔 안쪽 테스트했는데 자극 없어서 얼굴에 해보앗 어요	1
뭐가 묻어왔네요	0
포대에 넣어져서 다 부서져서 왔어요 ㅜㅜ	0
딋 븻 극슥 븝 긊긋 그긔 듿 ㅎ그	1
급하게 사용해야 되는데 교환 절차가 너무 시간이 걸리네요	0
리뷰에 좋다는 후기가 많아 사봤는데 정말 어의 가 없는 쇼파네요	0
재구매 항상 구매하고 있읍니다	1
낮에는 불이 들어온 것도 모를 정도입니다	0
크기는 정 사이즈 고 광량은 약한 느낌입니다	1
학원에서 추천해주셔서 구매하였습니당	1
예전 맘큼 맛있지 않네요	0
제품 주문 후 배송까지 6일 만에 받았습니다	0
배송도 빠르며 설치하기도 편해 너무 만족합니다	1
배송 빨라 요 출국 전에 미리 수령했어요	1
옷 상처 안 나게 보호용으로 샀습니다	1
어리굴젓 강추입니다	1
배송 받고 다음날 할인 이벤트 문자와 서 속상했음	1
사진 참고하기 바란다 저기 보이는 약 1센티도 안 되는 흠이 이 평점을 1점으로 만들었다	0
음 그녕 그저 그런 듯 하뇨	0
초록초록한 이 사이즈 없어 이 거샀는데 좀 밋밋한 느낌에요	0
약간 비싼 듯한 느낌은 있지만 가격 대비 만족합니다	1
작동은 잘 됩니다	0
미니웰 덕분에 하루 1000 칼로리 거뜬히 깔고 갑니다	1
역시 츄르	1
그저 그런 느낌	0
짜증나서 취소해달라니 물건받고 반품 신청 하래요 ㅋㅋㅋ	0
반품도 못하고 일단 그냥 놔둡니다 ㅜㅜ	0
그리고 뚜껑에 스티커가 없어서 조금 찝찝하긴 합니다	0
가시도 덜 발라져 있고 타사 제품보다 덜 맛나요	0
램프 잘 작동됩니다	1
좋은 향도 나 고 사이즈도 좋고 가격도 착하네요	1
사서 그런지 냉동 굴젓은 처음	0
색상도 약간 후줄근하구요	0
타 제품 가위가 안 들어서 구매했는데 좋아요	1
터치고 힘줘야 먹힙니다	0
반건조 생선 박대 잘못 사면 비린내가 나던데 친환경 팔도에서 주문한 박대 서대는 배송도 좋고 반 건조 상태도 깔끔하고 비린내도 거의 안나고 짜지 않고 밥도둑이더라구요	1
숙성회라 단단하고 쫄깃 맛있었어요	1
넘 맛있어서 계속 구매하고 있어요	1
모델처럼 착 붙는 느낌이 없이 너무 크네요 ㅠ	0
스마트 스토어 아이패드2 30핀케이블 충전 케이블 아주아주 튼튼하게 잘 만들었네요	1
흰색이 아니라 연한 개나리 색이라 너무 별로네요	0
문의하여도 답변이 없음	0
완전 저렴하고 촉촉	1
아직 안 써 봣어요ㅜ ㅜ	0
고정핀이 흔들려서 그냥 버림 아무리 싼 게 비지 떡이라지만 이런 건 안 팔았으면 합니다	0
케이블 타이로 두상판을 고 정해서 사용하면 움직이지 않아서 좋아요	1
음 솔직히 정말 별로예요	0
차를 워낙 좋아해서 한 번에 여러 개 구매했는데 유통기한 임박 제품들이 있어 아쉽습니다	0
애기국자는 괜찮을 거 같아요	0
교환이나 반품이 귀찮아서 그냥 씁니다	0
공주 얼굴 부분에 프린팅이 벗겨져서 왔어요	0
실리콘이 거치대 기능을 하지 못하고 자꾸 미끄러져 내려요	0
향이 좀 강한 듯 하지만 잘 써볼께요	1
얇은 거인 줄 알았는데 얼굴에 자국 완전 심해요	0
길이가 길고 부드러워요	1
정ㅎ헉하게 잫 왓어여조어요	1
당장 써야 해서 반품 안 하고 그냥 씁니다	0
게는 없고 물만 있네요	0
전체적으로 좀 입고 있으면 늘어나서 자꾸 앞쪽을 치켜 올리게 됩니다	0
일할 때 요긴하게 쓰일꺼 같네요	1
단 추가 하나 없이 옴 귀찮아서 단추 다이소에서 구해서 달아 입음 출고시킬 때 확인 안 하나 봄	0
만족 평소에 쓰던 제품입니다	1
검정색이 더 이 뻣을 같긴 한데 ㅎㅎㅎ 예전에 쓰던 거보다 더 좋네요	1
설날에 선물로 드릴려고 구매했는데 배송도 빠르고 포장도 잘 되있어 기분 좋은 마음으로 선물했습니다	1
먼지는 적으나 부드럽지 않고 얇아요	0
맛도 있고 썩은 것도 아주 드물고	1
아파서 팔을 접고 펴고 하기가 힘든네요	0
아 손 엄청 쩍뻑해지고 향도 별로 고 씻고 나서 선 느낌이 너무 별로에요	0
재구매 일동후디스였음	0
목이 너무 좁아 단추를 다 채우고 다니긴 힘들어요	0
포장할 때 잘못 닫혔나 하고 열었다	0
좋습 다 좃아요	1
다양한 특수 부위를 구할 수 있어서 참 좋습니다	1
디자인이 이 쁘긴 한데 ㅠ 좀 과한 느낌이에요	0
5 이 가격이면 다른 업체 꺼 사세	0
가성비에서 에어리 압살	1
강아지 쓰려고 샀어용 사이즈 좋아요 ㅎㅎ	1
재봉불량으로 몇 번을 바꿨는지 모르겠네요 ㅠㅠ	0
배송일에 비가 왓는지 박스 포장이 다 뜯겨서 배송이 왓어요 ㅠㅠ	0
스판끼가 없네요	0
다이소 제품이 더 나은 듯	0
별로에 요 다신 안 살 거 같아 요 먼지도 많이 붙음	0
먹어보니 맛이 좋습니다	1
크기 조절이 안 되네요	0
참고 신다 보니 발 뒤꿈치에서 피가 나네요	0
재구매 매우 좋습니다	1
택배가 왔는데 처음에 상자가 모두 젖어 있었고 눈 때문에 표면이 젖은 겠거니 했는데 역시나 내용물은 모두 터져 있었고 멀쩡한 것은 하나도 없었습니다	0
여자에게는 사이즈가 맞는데 남자한테는 살짝 작네요	1
너무 불편하고 발 등 있는 부분 양쪽 다 떨어져서 딱 5번 신고 버림	0
순한 성분 텍스처가 마음에 들어 4번째 재구매해요	1
친구 커플과 잘 쓰겠네요 ㅎ	1
윤기 있고 쫀득 하구 최고에요	1
젖꼭지 씻다 찢어질 거 같아 사용 안 하고 있습니다	0
생각보다 얇은 편이고 조금 큰 거 같기도 하네요	0
헐아 요량얏	1
저는 개손해 봤음	0
색상도 깔끔하고 일반 덧신보다 도 톰해서 좋아요	1
피부에 덜 자극 주려고 물로 1차 세안했는데 너무 오일리 하네요	0
구매 강추	1
급해서 교환 못하고 쓰지만 찝찝	0
만족하고 있어요	1
휴가가서 잘 쓸게요	1
3일 지나니 바람이 빠지는 거 같아요ㅜ	0
조립시 나사가 헐렁해요	0
쌀눈까지 함께 구매할 수 있어 좋았어요	1
장갑에 실밥이 사용한 지 얼마 되지도 않아서 뜯어져서 너무 않좋네요	0
아주 좋어요	1
소재가 영아님 물건받고 개봉해서 알았음	0
좀 허접한 듯	0
생각보다 체감 바람세기가 너무 약 하네요	0
큰 사이즈가 없어서 막 서치하고 구매했는데 엄마가 너무 좋아하셔 요 ㅎㅎ 사이즈가 생각보다 살짝 넉넉한데 좋아요	1
생각보다 빠르게 잘 배송되었어요	1
배송 빨라서 잘 받고 설치 중인데 안전 손잡이 별 도 구매인 줄 모르고 신청을 못했어요	1
배송은 빠르고 가벼운데 서랍 부위가 약간 만족	0
생각보다 모자가 너무 커서 한 번도 착용 못하고 있어요 ㅜㅜ	0
배송은 그럭저럭 사이즈 표랑 옷 실제 사이즈랑 차이 너무 크 구요	0
재구매 다른 구두나 운동화 230 시키는 데 여기서 230 시켰는데 거의 250인 것 처럼 헐떡 거려서 당장 면접 가야 하는데 곤란했다 만 원 더 주고 신발에 패드 붙였는데 그래도 큼	0
이건 절대 안 되요	0
맛도 너무 좋아용 ㅋㅋ 어른도 좋아합니다	1
예쁘고 튼튼한 것 같아요	1
솔직히 깔끔하게 정리할 거 기대했는데	0
맛 없어서 다른 거 사먹느라 두 달 동안 그대로예요	0
역시 시세이도네요	1
솔직한 리뷰 적어 볼께요	0
장착도 쉽게 잘했구요	1
봉은 좀 별로예요	1
안쪽 허벅지살 마사지 짱 시원하네요	1
빠른 배송과 휴대성이 간편해서 좋아요	1
젤이라 한 번씩 끊기는 현상이 발생함 볼펜이 가성비 좋은데 젤이라 필기감은 좋음	1
그리고 옥수수 상태가 안 좋아요	0
작업용으로 최고입니다	1
다만 폴리백에 그냥 담겨져 와서 투명 통이 찌 그러져 왔네요 ㅠ	1
향이 이게 괜찮다고 생각들을 하시는 게 제가 이 상한가 봐요	0
착용감도 좋고 소재가 살짝 얇은 느낌이지만 가격 대비 매우 만족합니다	1
여름에 시원하겠어요	1
볼록거울처럼 보여 요 그냥 돈 좀 더 주고 비싼 거 살글 그랬네요	0
택배 보낼 때 포장 좀 잘해주세요	0
그레이 주문인데 그린 배송 귀찮아서 걍 입어 요 이 거 랜덤 발송인 거였어 ㅜㅜ	0
회사 인원을 착각해서 30개나 더 주문했는데도 다들 맛있다고 더 가져가서 3개 겨우 챙겨왔네요 ㅎㅎ	1
가격만큼의 양이네요	0
넘 괜찮아 오 또 시킬 게요	1
올 여름은 시원할 듯	1
털이 더 붙네요	0
더운 날씨 빛 차단 효과 굿	1
조립은 쉬우나 나 사돌리기 만만치 않아서 전동 드라이버로 하세요	1
잘 늘어나고 신축성이 좋다고 했는데 거의 늘어나지도 않아 요 불편해요	0
저렴한 가격에 좋아욧	1
설치는 혼자서 해도 쉽게 할 수 있어서 맘에 듭니다	0
짱짱해서 좋아용	1
저희 집은 새 옷을 바로 입지 않고 꼭 한 번 세탁해서 입는데요	0
잘 붙어요	1
